timestamp,sensorID,raw_VWC,temp,EC
1615346184,0,2646.57,19.8,219
1615346195,1,2703.24,20.1,452
1615346196,0,2646.81,19.8,226
1615346206,1,2702.26,20.1,454
1615346207,0,2647.74,19.8,221
1615346217,1,2703.36,20.1,460
1615346218,0,2647.20,19.8,215
1615346228,1,2703.49,20.1,459
1615346229,0,2646.67,19.8,218
1615346239,1,2701.93,20.1,458
1615346240,0,2646.90,19.8,219
1615346250,1,2704.01,20.1,453
1615346251,0,2646.94,19.8,220
1615346261,1,2702.06,20.1,457
1615346262,0,2648.01,19.8,218
1615346272,1,2702.30,20.1,460
1615346273,0,2646.97,19.8,216
1615346283,1,2703.46,20.1,461
1615346284,0,2648.07,19.8,220
1615346294,1,2702.20,20.1,459
1615346295,0,2646.96,19.8,215
1615346305,1,2702.04,20.1,459
1615346306,0,2646.73,19.8,217
1615346315,1,2703.80,20.1,454
1615346316,0,2648.19,19.8,223
1615346326,1,2705.25,20.1,460
1615346327,0,2646.70,19.8,218
1615346337,1,2703.61,20.1,454
1615346338,0,2648.70,19.8,218
1615346348,1,2701.75,20.1,454
1615346349,0,2647.17,19.8,217
1615346359,1,2702.09,20.1,455
1615346360,0,2647.28,19.8,216
1615346370,1,2702.29,20.1,461
1615346371,0,2648.16,19.8,218
1615346381,1,2703.21,20.1,460
1615346382,0,2646.79,19.8,224
1615346392,1,2701.96,20.1,459
1615346393,0,2647.45,19.8,225
1615346403,1,2701.76,20.1,459
1615346404,0,2646.93,19.8,218
1615346414,1,2705.51,20.1,461
1615346415,0,2647.41,19.8,216
1615346425,1,2703.54,20.1,457
1615346426,0,2647.28,19.8,216
1615346436,1,2703.49,20.1,462
1615346437,0,2647.61,19.8,220
1615346447,1,2701.80,20.1,457
1615346448,0,2648.87,19.8,217
1615346458,1,2703.28,20.1,464
1615346459,0,2648.52,19.8,215
1615346469,1,2703.88,20.1,455
1615346470,0,2648.63,19.8,225
1615346480,1,2705.34,20.1,455
1615346481,0,2647.14,19.8,221
1615346491,1,2705.61,20.1,461
1615346492,0,2647.21,19.8,217
1615346502,1,2705.46,20.1,455
1615346503,0,2647.05,19.8,219
1615346513,1,2704.69,20.1,461
1615346514,0,2648.16,19.8,221
1615346524,1,2702.90,20.1,459
1615346525,0,2648.45,19.8,218
1615346535,1,2703.51,20.1,454
1615346536,0,2648.25,19.8,218
1615346546,1,2703.27,20.1,463
1615346547,0,2647.34,19.8,216
1615346557,1,2704.60,20.1,464
1615346558,0,2648.35,19.8,216
1615346568,1,2702.62,20.1,455
1615346569,0,2648.66,19.8,224
1615346579,1,2704.09,20.1,450
1615346580,0,2648.09,19.8,219
1615346590,1,2702.66,20.1,460
1615346591,0,2647.32,19.8,222
1615346601,1,2705.28,20.1,452
1615346602,0,2647.50,19.8,217
1615346612,1,2705.47,20.1,463
1615346613,0,2647.48,19.8,217
1615346623,1,2704.30,20.1,457
1615346624,0,2648.62,19.8,218
1615346634,1,2704.27,20.1,462
1615346635,0,2647.15,19.8,225
1615346645,1,2703.45,20.1,461
1615346646,0,2648.71,19.8,225
1615346656,1,2702.47,20.1,459
1615346657,0,2648.42,19.8,220
1615346667,1,2704.08,20.1,457
1615346668,0,2648.71,19.8,225
1615346678,1,2702.15,20.1,448
1615346679,0,2648.70,19.8,216
1615346689,1,2703.69,20.1,457
1615346690,0,2647.23,19.8,216
1615346700,1,2705.38,20.1,459
1615346701,0,2648.65,19.8,216
1615346711,1,2703.87,20.1,461
1615346712,0,2647.65,19.8,217
1615346722,1,2702.60,20.1,462
1615346723,0,2647.92,19.8,225
1615346733,1,2704.54,20.2,450
1615346734,0,2647.79,19.8,216
1615346744,1,2704.53,20.2,460
1615346745,0,2649.00,19.8,225
1615346755,1,2702.18,20.2,452
1615346756,0,2648.23,19.8,224
1615346766,1,2702.19,20.2,451
1615346767,0,2648.04,19.8,216
1615346777,1,2702.23,20.2,460
1615346778,0,2649.05,19.8,217
1615346788,1,2702.52,20.2,449
1615346789,0,2647.95,19.8,224
1615346799,1,2704.43,20.2,452
1615346800,0,2647.67,19.8,224
1615346810,1,2705.83,20.2,462
1615346811,0,2648.90,19.8,224
1615346821,1,2702.38,20.2,464
1615346822,0,2647.91,19.8,225
1615346832,1,2704.94,20.2,457
1615346833,0,2649.13,19.8,222
1615346843,1,2703.77,20.2,461
1615346844,0,2648.97,19.8,223
1615346854,1,2702.43,20.2,455
1615346855,0,2649.28,19.8,225
